gene_symbol,gene_name
ENSG00000234527,PCDH9-AS1
ENSG00000278071,AL161669.3
ENSG00000175344,CHRNA7
ENSG00000274444,AC078909.2
ENSG00000278621,AC037198.2
ENSG00000166035,LIPC
ENSG00000140470,ADAMTS17
ENSG00000188536,HBA2
ENSG00000261816,AC134312.6
ENSG00000161944,ASGR2
ENSG00000170373,CST1
ENSG00000180305,WFDC10A
ENSG00000271784,AL031055.1
ENSG00000197766,CFD
ENSG00000261857,MIA
ENSG00000268001,CARD8-AS1
ENSG00000268292,AC006547.3
ENSG00000100362,PVALB
ENSG00000273199,AP000692.2
ENSG00000211592,IGKC
ENSG00000249509,AC023886.1
ENSG00000283782,AC116366.3
ENSG00000122585,NPY
ENSG00000271086,AL137067.1
ENSG00000236403,AL353611.1
ENSG00000244734,HBB
ENSG00000135413,LACRT
ENSG00000172551,MUCL1
ENSG00000211897,IGHG3
ENSG00000260496,AC009041.1
ENSG00000278740,AC005332.8
ENSG00000264235,AP005329.1
ENSG00000211677,IGLC2
ENSG00000174950,CD164L2
ENSG00000272715,AL157904.1
ENSG00000227579,AL122019.1
ENSG00000224939,LINC00184
ENSG00000273045,C2orf15
ENSG00000138435,CHRNA1
ENSG00000272529,AC090948.3
ENSG00000284669,AC092053.3
ENSG00000109667,SLC2A9
ENSG00000272995,AC097505.1
ENSG00000250821,EXOC1L
ENSG00000163631,ALB
ENSG00000137473,TTC29
ENSG00000132357,CARD6
ENSG00000164326,CARTPT
ENSG00000254211,LINC01485
ENSG00000244036,AC073320.1
ENSG00000271204,AC016831.5
ENSG00000270012,AC232271.1
ENSG00000187808,SOWAHD
ENSG00000102034,ELF4
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000172014,ANKRD20A4
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000110484,SCGB2A2
ENSG00000085741,WNT11
ENSG00000165490,DDIAS
ENSG00000109943,CRTAM
ENSG00000225778,PROSER2-AS1
ENSG00000169126,ARMC4
ENSG00000111341,MGP
ENSG00000166268,MYRFL
ENSG00000256001,AC079949.1
ENSG00000232977,LINC00327
ENSG00000278338,VWA8-AS1
ENSG00000166183,ASPG
ENSG00000211895,IGHA1
ENSG00000246283,AC090510.1
ENSG00000270964,AC016355.1
ENSG00000137868,STRA6
ENSG00000140379,BCL2A1
ENSG00000278662,GOLGA6L10
ENSG00000185883,ATP6V0C
ENSG00000103034,NDRG4
ENSG00000267653,AC002546.1
ENSG00000267724,AC012254.3
ENSG00000174448,STARD6
ENSG00000267040,AC027097.1
ENSG00000198547,C20orf203
ENSG00000101335,MYL9
ENSG00000213996,TM6SF2
ENSG00000267924,AC139769.2
ENSG00000267213,AC007773.1
ENSG00000105679,GAPDHS
ENSG00000171777,RASGRP4
ENSG00000177191,B3GNT8
ENSG00000168995,SIGLEC7
ENSG00000228839,PIK3IP1-AS1
ENSG00000183036,PCP4
ENSG00000237232,ZNF295-AS1
ENSG00000160180,TFF3
ENSG00000162545,CAMK2N1
ENSG00000175130,MARCKSL1
ENSG00000020129,NCDN
ENSG00000066322,ELOVL1
ENSG00000142937,RPS8
ENSG00000154027,AK5
ENSG00000143013,LMO4
ENSG00000185499,MUC1
ENSG00000123689,G0S2
ENSG00000115756,HPCAL1
ENSG00000163032,VSNL1
ENSG00000144119,C1QL2
ENSG00000115935,WIPF1
ENSG00000128656,CHN1
ENSG00000078018,MAP2
ENSG00000115648,MLPH
ENSG00000187094,CCK
ENSG00000172020,GAP43
ENSG00000153002,CPB1
ENSG00000189058,APOD
ENSG00000168993,CPLX1
ENSG00000171476,HOPX
ENSG00000152583,SPARCL1
ENSG00000138814,PPP3CA
ENSG00000109472,CPE
ENSG00000150625,GPM6A
ENSG00000145592,RPL37
ENSG00000131711,MAP1B
ENSG00000171617,ENC1
ENSG00000198944,SOWAHA
ENSG00000145824,CXCL14
ENSG00000113578,FGF1
ENSG00000070808,CAMK2A
ENSG00000145920,CPLX2
ENSG00000074317,SNCB
ENSG00000234745,HLA-B
ENSG00000096006,CRISP3
ENSG00000118432,CNR1
ENSG00000160862,AZGP1
ENSG00000189056,RELN
ENSG00000159763,PIP
ENSG00000205542,TMSB4X
ENSG00000123560,PLP1
ENSG00000104722,NEFM
ENSG00000277586,NEFL
ENSG00000120885,CLU
ENSG00000133874,RNF122
ENSG00000147488,ST18
ENSG00000104327,CALB1
ENSG00000136960,ENPP2
ENSG00000165023,DIRAS2
ENSG00000176884,GRIN1
ENSG00000130595,TNNT3
ENSG00000050165,DKK3
ENSG00000110436,SLC1A2
ENSG00000124935,SCGB1D2
ENSG00000185742,C11orf87
ENSG00000154096,THY1
ENSG00000154146,NRGN
ENSG00000178372,CALML5
ENSG00000173267,SNCG
ENSG00000148798,INA
ENSG00000246705,H2AFJ
ENSG00000170421,KRT8
ENSG00000135426,TESPA1
ENSG00000229117,RPL41
ENSG00000070961,ATP2B1
ENSG00000165949,IFI27
ENSG00000211892,IGHG4
ENSG00000128989,ARPP19
ENSG00000127585,FBXL16
ENSG00000133392,MYH11
ENSG00000166501,PRKCB
ENSG00000176046,NUPR1
ENSG00000103089,FA2H
ENSG00000166509,CLEC3A
ENSG00000171346,KRT15
ENSG00000171345,KRT19
ENSG00000128422,KRT17
ENSG00000131095,GFAP
ENSG00000108821,COL1A1
ENSG00000197971,MBP
ENSG00000101439,CST3
ENSG00000197457,STMN3
ENSG00000178531,CTXN1
ENSG00000105711,SCN1B
ENSG00000089356,FXYD3
ENSG00000105372,RPS19
ENSG00000104888,SLC17A7
ENSG00000241973,PI4KA
ENSG00000100219,XBP1
ENSG00000100285,NEFH
ENSG00000128245,YWHAH
ENSG00000221890,NPTXR
ENSG00000160182,TFF1
ENSG00000187608,ISG15
ENSG00000179403,VWA1
ENSG00000078369,GNB1
ENSG00000187730,GABRD
ENSG00000158109,TPRG1L
ENSG00000171603,CLSTN1
ENSG00000162444,RBP7
ENSG00000054523,KIF1B
ENSG00000142634,EFHD2
ENSG00000117115,PADI2
ENSG00000158828,PINK1
ENSG00000142676,RPL11
ENSG00000001461,NIPAL3
ENSG00000157978,LDLRAP1
ENSG00000117632,STMN1
ENSG00000158195,WASF2
ENSG00000162511,LAPTM5
ENSG00000121905,HPCA
ENSG00000116560,SFPQ
ENSG00000197982,C1orf122
ENSG00000158315,RHBDL2
ENSG00000168653,NDUFS5
ENSG00000049089,COL9A2
ENSG00000117408,IPO13
ENSG00000196517,SLC6A9
ENSG00000070759,TESK2
ENSG00000173660,UQCRH
ENSG00000186160,CYP4Z1
ENSG00000162374,ELAVL4
ENSG00000123091,RNF11
ENSG00000116133,DHCR24
ENSG00000116675,DNAJC6
ENSG00000137941,TTLL7
ENSG00000134222,PSRC1
ENSG00000134243,SORT1
ENSG00000177301,KCNA2
ENSG00000272755,AC245297.2
ENSG00000264522,OTUD7B
ENSG00000118298,CA14
ENSG00000143418,CERS2
ENSG00000213190,MLLT11
ENSG00000169242,EFNA1
ENSG00000132718,SYT11
ENSG00000160781,PAQR6
ENSG00000018625,ATP1A2
ENSG00000143318,CASQ1
ENSG00000162734,PEA15
ENSG00000117152,RGS4
ENSG00000143198,MGST3
ENSG00000075945,KIFAP3
ENSG00000198216,CACNA1E
ENSG00000162630,B3GALT2
ENSG00000151414,NEK7
ENSG00000159176,CSRP1
ENSG00000163531,NFASC
ENSG00000184144,CNTN2
ENSG00000158715,SLC45A3
ENSG00000065600,TMEM206
ENSG00000143499,SMYD2
ENSG00000162817,C1orf115
ENSG00000196187,TMEM63A
ENSG00000163041,H3F3A
ENSG00000143772,ITPKB
ENSG00000198835,GJC2
ENSG00000135744,AGT
ENSG00000119280,C1orf198
ENSG00000179456,ZBTB18
ENSG00000162981,FAM84A
ENSG00000197872,FAM49A
ENSG00000143878,RHOB
ENSG00000084731,KIF3C
ENSG00000226833,AC092164.1
ENSG00000143933,CALM2
ENSG00000234690,AC106869.1
ENSG00000179915,NRXN1
ENSG00000115310,RTN4
ENSG00000143947,RPS27A
ENSG00000028116,VRK2
ENSG00000169764,UGP2
ENSG00000221823,PPP3R1
ENSG00000163235,TGFA
ENSG00000003137,CYP26B1
ENSG00000066032,CTNNA2
ENSG00000034510,TMSB10
ENSG00000172005,MAL
ENSG00000135940,COX5B
ENSG00000071054,MAP4K4
ENSG00000198914,POU3F3
ENSG00000144152,FBLN7
ENSG00000155368,DBI
ENSG00000136717,BIN1
ENSG00000048991,R3HDM1
ENSG00000169554,ZEB2
ENSG00000177519,RPRM
ENSG00000153234,NR4A2
ENSG00000136541,ERMN
ENSG00000136535,TBR1
ENSG00000144290,SLC4A10
ENSG00000136531,SCN2A
ENSG00000081479,LRP2
ENSG00000154518,ATP5MC3
ENSG00000224189,HAGLR
ENSG00000061676,NCKAP1
ENSG00000187699,C2orf88
ENSG00000115419,GLS
ENSG00000196950,SLC39A10
ENSG00000115414,FN1
ENSG00000115461,IGFBP5
ENSG00000079308,TNS1
ENSG00000171450,CDK5R2
ENSG00000127824,TUBA4A
ENSG00000054356,PTPRN
ENSG00000135919,SERPINE2
ENSG00000135905,DOCK10
ENSG00000187957,DNER
ENSG00000135916,ITM2C
ENSG00000187514,PTMA
ENSG00000115468,EFHD1
ENSG00000182600,SNORC
ENSG00000066248,NGEF
ENSG00000172428,COPS9
ENSG00000168385,SEPT2
ENSG00000187288,CIDEC
ENSG00000157087,ATP2B2
ENSG00000157152,SYN2
ENSG00000163517,HDAC11
ENSG00000131386,GALNT15
ENSG00000182568,SATB1
ENSG00000168314,MOBP
ENSG00000012223,LTF
ENSG00000067560,RHOA
ENSG00000164061,BSN
ENSG00000164076,CAMKV
ENSG00000012171,SEMA3B
ENSG00000180929,GPR62
ENSG00000090097,PCBP4
ENSG00000114854,TNNC1
ENSG00000114541,FRMD4B
ENSG00000269028,MTRNR2L12
ENSG00000261292,AC110491.1
ENSG00000080822,CLDND1
ENSG00000170017,ALCAM
ENSG00000144834,TAGLN3
ENSG00000114573,ATP6V1A
ENSG00000185565,LSAMP
ENSG00000091513,TF
ENSG00000154917,RAB6B
ENSG00000114019,AMOTL2
ENSG00000158258,CLSTN2
ENSG00000239922,AC092958.1
ENSG00000070087,PFN2
ENSG00000163536,SERPINI1
ENSG00000013297,CLDN11
ENSG00000075651,PLD1
ENSG00000121858,TNFSF10
ENSG00000114796,KLHL24
ENSG00000156976,EIF4A2
ENSG00000243449,C4orf48
ENSG00000159788,RGS12
ENSG00000151552,QDPR
ENSG00000185774,KCNIP4
ENSG00000168214,RBPJ
ENSG00000154277,UCHL1
ENSG00000064042,LIMCH1
ENSG00000163069,SGCB
ENSG00000138760,SCARB2
ENSG00000145284,SCD5
ENSG00000109339,MAPK10
ENSG00000118785,SPP1
ENSG00000145335,SNCA
ENSG00000196616,ADH1B
ENSG00000174607,UGT8
ENSG00000164111,ANXA5
ENSG00000138650,PCDH10
ENSG00000183090,FREM3
ENSG00000061918,GUCY1B1
ENSG00000120251,GRIA2
ENSG00000164124,TMEM144
ENSG00000171509,RXFP1
ENSG00000145451,GLRA3
ENSG00000151726,ACSL1
ENSG00000171368,TPPP
ENSG00000170561,IRX2
ENSG00000215218,UBE2QL1
ENSG00000154153,RETREG1
ENSG00000176788,BASP1
ENSG00000133401,PDZD2
ENSG00000082196,C1QTNF3
ENSG00000250722,SELENOP
ENSG00000164588,HCN1
ENSG00000152932,RAB3C
ENSG00000132846,ZBED3
ENSG00000164300,SERINC5
ENSG00000113319,RASGRF2
ENSG00000186468,RPS23
ENSG00000164176,EDIL3
ENSG00000164292,RHOBTB3
ENSG00000175426,PCSK1
ENSG00000152495,CAMK4
ENSG00000092421,SEMA6A
ENSG00000169567,HINT1
ENSG00000164403,SHROOM1
ENSG00000164405,UQCRQ
ENSG00000152377,SPOCK1
ENSG00000131507,NDFIP1
ENSG00000169247,SH3TC2
ENSG00000019582,CD74
ENSG00000211445,GPX3
ENSG00000197043,ANXA6
ENSG00000113140,SPARC
ENSG00000055163,CYFIP2
ENSG00000172548,NIPAL4
ENSG00000118322,ATP10B
ENSG00000022355,GABRA1
ENSG00000170091,NSG2
ENSG00000050748,MAPK9
ENSG00000137267,TUBB2A
ENSG00000124785,NRN1
ENSG00000112186,CAP2
ENSG00000137177,KIF13A
ENSG00000204681,GABBR1
ENSG00000204655,MOG
ENSG00000206503,HLA-A
ENSG00000204580,DDR1
ENSG00000204525,HLA-C
ENSG00000213760,ATP6V1G2
ENSG00000204389,HSPA1A
ENSG00000231500,RPS18
ENSG00000137221,TJAP1
ENSG00000096384,HSP90AB1
ENSG00000170915,PAQR8
ENSG00000156508,EEF1A1
ENSG00000196586,MYO6
ENSG00000112290,WASF1
ENSG00000189241,TSPYL1
ENSG00000196376,SLC35F1
ENSG00000172673,THEMIS
ENSG00000079819,EPB41L2
ENSG00000135525,MAP7
ENSG00000074706,IPCEF1
ENSG00000078269,SYNJ2
ENSG00000146453,PNLDC1
ENSG00000060762,MPC1
ENSG00000136238,RAC1
ENSG00000173467,AGR3
ENSG00000105855,ITGB8
ENSG00000136237,RAPGEF5
ENSG00000122566,HNRNPA2B1
ENSG00000240583,AQP1
ENSG00000011426,ANLN
ENSG00000058404,CAMK2B
ENSG00000196262,PPIA
ENSG00000136274,NACAD
ENSG00000170419,VSTM2A
ENSG00000106089,STX1A
ENSG00000127946,HIP1
ENSG00000146701,MDH2
ENSG00000170027,YWHAG
ENSG00000186472,PCLO
ENSG00000170381,SEMA3E
ENSG00000164692,COL1A2
ENSG00000166448,TMEM130
ENSG00000166925,TSC22D4
ENSG00000214253,FIS1
ENSG00000233123,LINC01007
ENSG00000128512,DOCK4
ENSG00000081803,CADPS2
ENSG00000170775,GPR37
ENSG00000128591,FLNC
ENSG00000064393,HIPK2
ENSG00000130226,DPP6
ENSG00000046653,GPM6B
ENSG00000130150,MOSPD2
ENSG00000156298,TSPAN7
ENSG00000165175,MID1IP1
ENSG00000008056,SYN1
ENSG00000102109,PCSK1N
ENSG00000102003,SYP
ENSG00000169562,GJB1
ENSG00000198034,RPS4X
ENSG00000229807,XIST
ENSG00000102144,PGK1
ENSG00000102271,KLHL4
ENSG00000204071,TCEAL6
ENSG00000184515,BEX5
ENSG00000185222,TCEAL9
ENSG00000166681,BEX3
ENSG00000005893,LAMP2
ENSG00000188706,ZDHHC9
ENSG00000022267,FHL1
ENSG00000010404,IDS
ENSG00000175445,LPL
ENSG00000147416,ATP6V1B2
ENSG00000158856,DMTN
ENSG00000168490,PHYHIP
ENSG00000179388,EGR3
ENSG00000240694,PNMA2
ENSG00000015592,STMN4
ENSG00000156675,RAB11FIP1
ENSG00000147533,GOLGA7
ENSG00000181195,PENK
ENSG00000104435,STMN2
ENSG00000147588,PMP2
ENSG00000104267,CA2
ENSG00000164951,PDP1
ENSG00000156467,UQCRB
ENSG00000156482,RPL30
ENSG00000104490,NCALD
ENSG00000164830,OXR1
ENSG00000104419,NDRG1
ENSG00000176956,LY6H
ENSG00000277494,GPIHBP1
ENSG00000261678,SCRT1
ENSG00000173253,DMRT2
ENSG00000153707,PTPRD
ENSG00000107295,SH3GL2
ENSG00000155886,SLC24A2
ENSG00000120162,MOB3B
ENSG00000137070,IL11RA
ENSG00000122694,GLIPR2
ENSG00000198963,RORB
ENSG00000106772,PRUNE2
ENSG00000135069,PSAT1
ENSG00000148053,NTRK2
ENSG00000187764,SEMA4D
ENSG00000136842,TMOD1
ENSG00000136938,ANP32B
ENSG00000070214,SLC44A1
ENSG00000260230,FRRS1L
ENSG00000198121,LPAR1
ENSG00000136867,SLC31A2
ENSG00000196814,MVB12B
ENSG00000136854,STXBP1
ENSG00000167106,FAM102A
ENSG00000106976,DNM1
ENSG00000167123,CERCAM
ENSG00000197694,SPTAN1
ENSG00000126878,AIF1L
ENSG00000196358,NTNG2
ENSG00000130558,OLFM1
ENSG00000107317,PTGDS
ENSG00000107331,ABCA2
ENSG00000176058,TPRN
ENSG00000142089,IFITM3
ENSG00000023191,RNH1
ENSG00000117983,MUC5B
ENSG00000078902,TOLLIP
ENSG00000177105,RHOG
ENSG00000255823,MTRNR2L8
ENSG00000133816,MICAL2
ENSG00000197601,FAR1
ENSG00000110700,RPS13
ENSG00000006611,USH1C
ENSG00000134333,LDHA
ENSG00000198168,SVIP
ENSG00000049449,RCN1
ENSG00000166016,ABTB2
ENSG00000026508,CD44
ENSG00000135362,PRR5L
ENSG00000149091,DGKZ
ENSG00000172247,C1QTNF4
ENSG00000211450,SELENOH
ENSG00000167996,FTH1
ENSG00000124939,SCGB2A1
ENSG00000162188,GNG3
ENSG00000133318,RTN3
ENSG00000172508,CARNS1
ENSG00000021300,PLEKHB1
ENSG00000149273,RPS3
ENSG00000073921,PICALM
ENSG00000109846,CRYAB
ENSG00000150764,DIXDC1
ENSG00000149294,NCAM1
ENSG00000186318,BACE1
ENSG00000167283,ATP5MG
ENSG00000019144,PHLDB1
ENSG00000076706,MCAM
ENSG00000109971,HSPA8
ENSG00000166257,SCN3B
ENSG00000165478,HEPACAM
ENSG00000149557,FEZ1
ENSG00000166086,JAM3
ENSG00000109956,B3GAT1
ENSG00000185736,ADARB2
ENSG00000067057,PFKP
ENSG00000026025,VIM
ENSG00000165995,CACNB2
ENSG00000150867,PIP4K2A
ENSG00000237949,LINC00844
ENSG00000156515,HK1
ENSG00000107731,UNC5B
ENSG00000197746,PSAP
ENSG00000165424,ZCCHC24
ENSG00000165678,GHITM
ENSG00000148671,ADIRF
ENSG00000107796,ACTA2
ENSG00000120053,GOT1
ENSG00000166136,NDUFB8
ENSG00000059915,PSD
ENSG00000107518,ATRNL1
ENSG00000187164,SHTN1
ENSG00000066468,FGFR2
ENSG00000138152,BTBD16
ENSG00000107902,LHPP
ENSG00000148826,NKX6-2
ENSG00000171840,NINJ2
ENSG00000060237,WNK1
ENSG00000139190,VAMP1
ENSG00000111640,GAPDH
ENSG00000111674,ENO2
ENSG00000139182,CLSTN3
ENSG00000111348,ARHGDIB
ENSG00000123095,BHLHE41
ENSG00000139116,KIF21A
ENSG00000018236,CNTN1
ENSG00000184613,NELL2
ENSG00000211584,SLC48A1
ENSG00000152556,PFKM
ENSG00000134287,ARF3
ENSG00000181418,DDN
ENSG00000123416,TUBA1B
ENSG00000167552,TUBA1A
ENSG00000139644,TMBIM6
ENSG00000066084,DIP2B
ENSG00000139629,GALNT6
ENSG00000196876,SCN8A
ENSG00000111057,KRT18
ENSG00000135404,CD63
ENSG00000092841,MYL6
ENSG00000110955,ATP5F1B
ENSG00000166006,KCNC2
ENSG00000067715,SYT1
ENSG00000139220,PPFIA2
ENSG00000111249,CUX2
ENSG00000089169,RPH3A
ENSG00000111775,COX6A1
ENSG00000157782,CABP1
ENSG00000130787,HIP1R
ENSG00000139364,TMEM132B
ENSG00000256193,LINC00507
ENSG00000165566,AMER2
ENSG00000122026,RPL21
ENSG00000133083,DCLK1
ENSG00000120693,SMAD9
ENSG00000102760,RGCC
ENSG00000136099,PCDH8
ENSG00000118946,PCDH17
ENSG00000184226,PCDH9
ENSG00000139737,SLAIN1
ENSG00000184564,SLITRK6
ENSG00000185352,HS6ST3
ENSG00000125249,RAP2A
ENSG00000185896,LAMP1
ENSG00000129538,RNASE1
ENSG00000100842,EFS
ENSG00000166091,CMTM5
ENSG00000139970,RTN1
ENSG00000126803,HSPA2
ENSG00000054690,PLEKHH1
ENSG00000198732,SMOC1
ENSG00000170345,FOS
ENSG00000198668,CALM1
ENSG00000100604,CHGA
ENSG00000165943,MOAP1
ENSG00000175785,PRIMA1
ENSG00000227051,C14orf132
ENSG00000036530,CYP46A1
ENSG00000214548,MEG3
ENSG00000080824,HSP90AA1
ENSG00000166165,CKB
ENSG00000126214,KLC1
ENSG00000156411,ATP5MPL
ENSG00000179364,PACS2
ENSG00000211890,IGHA2
ENSG00000128739,SNRPN
ENSG00000186297,GABRA5
ENSG00000166912,MTMR10
ENSG00000137825,ITPKA
ENSG00000103978,TMEM87A
ENSG00000166963,MAP1A
ENSG00000166710,B2M
ENSG00000138593,SECISBP2L
ENSG00000104112,SCG3
ENSG00000128872,TMOD2
ENSG00000197535,MYO5A
ENSG00000157734,SNX22
ENSG00000169032,MAP2K1
ENSG00000174444,RPL4
ENSG00000166173,LARP6
ENSG00000156642,NPTN
ENSG00000198794,SCAMP5
ENSG00000140391,TSPAN3
ENSG00000185787,MORF4L1
ENSG00000103811,CTSH
ENSG00000073417,PDE8A
ENSG00000259527,LINC00052
ENSG00000140538,NTRK3
ENSG00000140545,MFGE8
ENSG00000166819,PLIN1
ENSG00000185518,SV2B
ENSG00000242173,ARHGDIG
ENSG00000103260,METRN
ENSG00000005513,SOX8
ENSG00000140988,RPS2
ENSG00000127561,SYNGR3
ENSG00000162078,ZG16B
ENSG00000162073,PAQR4
ENSG00000183454,GRIN2A
ENSG00000189067,LITAF
ENSG00000184602,SNN
ENSG00000134419,RPS15A
ENSG00000170540,ARL6IP1
ENSG00000122254,HS3ST2
ENSG00000006116,CACNG3
ENSG00000158865,SLC5A11
ENSG00000182601,HS3ST4
ENSG00000174938,SEZ6L2
ENSG00000090238,YPEL3
ENSG00000099365,STX1B
ENSG00000087250,MT3
ENSG00000125148,MT2A
ENSG00000169715,MT1E
ENSG00000205358,MT1H
ENSG00000102934,PLLP
ENSG00000159713,TPPP3
ENSG00000172137,CALB2
ENSG00000183196,CHST6
ENSG00000152910,CNTNAP4
ENSG00000260788,AC009063.2
ENSG00000103154,NECAB2
ENSG00000131143,COX4I1
ENSG00000167526,RPL13
ENSG00000159842,ABR
ENSG00000004660,CAMKK1
ENSG00000129250,KIF1C
ENSG00000181885,CLDN7
ENSG00000129244,ATP1B2
ENSG00000109099,PMP22
ENSG00000072310,SREBF1
ENSG00000181481,RNF135
ENSG00000126860,EVI2A
ENSG00000176658,MYO1D
ENSG00000092871,RFFL
ENSG00000277363,SRCIN1
ENSG00000173786,CNP
ENSG00000073969,NSF
ENSG00000154975,CA10
ENSG00000136451,VEZF1
ENSG00000108387,SEPT4
ENSG00000167434,CA4
ENSG00000154229,PRKCA
ENSG00000141540,TTYH2
ENSG00000109089,CDR2L
ENSG00000132475,H3F3B
ENSG00000214140,PRCD
ENSG00000108639,SYNGR2
ENSG00000187775,DNAH17
ENSG00000108669,CYTH1
ENSG00000035862,TIMP2
ENSG00000141542,RAB40B
ENSG00000141433,ADCYAP1
ENSG00000170579,DLGAP1
ENSG00000141404,GNAL
ENSG00000168675,LDLRAD4
ENSG00000171885,AQP4
ENSG00000141424,SLC39A6
ENSG00000132872,SYT4
ENSG00000152234,ATP5F1A
ENSG00000141639,MAPK4
ENSG00000081913,PHLPP1
ENSG00000125826,RBCK1
ENSG00000088832,FKBP1A
ENSG00000171867,PRNP
ENSG00000101265,RASSF2
ENSG00000182621,PLCB1
ENSG00000125869,LAMP5
ENSG00000132639,SNAP25
ENSG00000125820,NKX2-2
ENSG00000125814,NAPB
ENSG00000132821,VSTM2L
ENSG00000166913,YWHAB
ENSG00000124140,SLC12A5
ENSG00000026559,KCNG1
ENSG00000064787,BCAS1
ENSG00000054803,CBLN4
ENSG00000087460,GNAS
ENSG00000124172,ATP5F1E
ENSG00000092758,COL9A3
ENSG00000125534,PPDPF
ENSG00000183186,C2CD4C
ENSG00000167468,GPX4
ENSG00000167680,SEMA6B
ENSG00000008441,NFIX
ENSG00000099331,MYO9B
ENSG00000130303,BST2
ENSG00000130304,SLC27A1
ENSG00000105643,ARRDC2
ENSG00000099308,MAST3
ENSG00000105649,RAB3A
ENSG00000105696,TMEM59L
ENSG00000187664,HAPLN4
ENSG00000250067,YJEFN3
ENSG00000198597,ZNF536
ENSG00000131944,FAAP24
ENSG00000105695,MAG
ENSG00000012124,CD22
ENSG00000105290,APLP1
ENSG00000161281,COX7A1
ENSG00000167641,PPP1R14A
ENSG00000105193,RPS16
ENSG00000174521,TTC9B
ENSG00000105223,PLD3
ENSG00000105409,ATP1A3
ENSG00000130203,APOE
ENSG00000130208,APOC1
ENSG00000204851,PNMA8B
ENSG00000160014,CALM3
ENSG00000130748,TMEM160
ENSG00000063177,RPL18
ENSG00000087086,FTL
ENSG00000142534,RPS11
ENSG00000167755,KLK6
ENSG00000126583,PRKCG
ENSG00000131100,ATP6V1E1
ENSG00000100095,SEZ6L
ENSG00000128283,CDC42EP1
ENSG00000100097,LGALS1
ENSG00000100242,SUN2
ENSG00000100364,KIAA0930
ENSG00000008735,MAPK8IP2
ENSG00000154723,ATP5PF
