# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000235098    1    1343800    1392149     27       1  35802     -0.25551    0.00036141     -0.25587
ENSG00000215915    1    1350069    1415538     18       1  35802     -0.18681    0.00036141     -0.18717
ENSG00000225285    1    1355919    1404953      3       1  35802      0.17882    0.00036141      0.17846
ENSG00000205090    1    1460554    1510833      2       1  35802       1.9535    0.00036141       1.9532
ENSG00000160075    1    1467053    1545249      2       1  35802       1.9535    0.00036141       1.9532
ENSG00000215014    1    1475355    1521373      2       1  35802       1.9535    0.00036141       1.9532
ENSG00000008128    1    1624169    1690766     45       3  35802      -1.0143    0.00036141      -1.0146
ENSG00000215790    1    1646277    1712431     84       6  35802      -0.8433    0.00036141     -0.84366
ENSG00000008130    1    1672671    1746896     91       8  35802     -0.50102    0.00036141     -0.50138
ENSG00000078369    1    1706729    1857495    204      15  35802     0.080192    0.00036141     0.079831
ENSG00000231050    1    1787910    1834097     54       7  35802      0.15838    0.00036141      0.15802
ENSG00000169885    1    1811266    1858735    102      10  35802      0.44815    0.00036141      0.44779
ENSG00000178821    1    1839029    1885712    139      10  35802      0.37702    0.00036141      0.37666
ENSG00000142609    1    1843396    1970276    145      11  35802      0.54264    0.00036141      0.54228
ENSG00000187730    1    1915780    1972192      1       1  35802     -0.35595    0.00036141     -0.35632
ENSG00000233542    1    1934652    1981969      1       1  35802     -0.35595    0.00036141     -0.35632
ENSG00000067606    1    1946909    2126834    354      24  35802       2.2733    0.00036141        2.273
ENSG00000271806    1    2062523    2111718    114       9  35802       3.3107    0.00036141       3.3103
ENSG00000182873    1    2103233    2150828     90      17  35802       3.6686    0.00036141       3.6682
ENSG00000162585    1    2105903    2179159    154      26  35802       3.2563    0.00036141       3.2559
ENSG00000234396    1    2108962    2162177    104      21  35802       3.6158    0.00036141       3.6154
ENSG00000157933    1    2125134    2251558    316      40  35802       2.0813    0.00036141       2.0809
ENSG00000116151    1    2242692    2358146    429      57  35802      0.60438    0.00036141      0.60402
ENSG00000157916    1    2288267    2346883    180      37  35802       1.1217    0.00036141       1.1213
ENSG00000149527    1    2322419    2446969    346      51  35802       5.8697    0.00036141       5.8693
ENSG00000157911    1    2326236    2380236    163      39  35802       4.7345    0.00036141       4.7341
ENSG00000224387    1    2413739    2459697    102      12  35802      0.59628    0.00036141      0.59592
ENSG00000157881    1    2429972    2493039    141      19  35802      0.48825    0.00036141      0.48789
ENSG00000272449    1    2442904    2488899    101      17  35802      0.35941    0.00036141      0.35905
ENSG00000197921    1    2450184    2496684     96      15  35802     0.016668    0.00036141     0.016307
ENSG00000157873    1    2452078    2506821    124      15  35802      0.05999    0.00036141     0.059628
ENSG00000238164    1    2471359    2523470    109       9  35802      0.64383    0.00036141      0.64347
ENSG00000228037    1    2477999    2525972    116       9  35802       1.2447    0.00036141       1.2443
ENSG00000157870    1    2482930    2532908    140      10  35802       1.5954    0.00036141        1.595
ENSG00000142606    1    2512078    2599481    207      11  35802       2.1657    0.00036141       2.1654
ENSG00000237058    1    2529007    2578059    141       9  35802       2.2593    0.00036141       2.2589
ENSG00000215912    1    2557415    2753286    242      20  35802       1.6414    0.00036141       1.6411
ENSG00000142611    1    2950732    3365185   1369     146  35802       1.0356    0.00036141       1.0352
ENSG00000177133    1    2966179    3020001    154      30  35802      -2.2931    0.00036141      -2.2934
ENSG00000272235    1    3213200    3261660    177      21  35802    0.0025262    0.00036141    0.0021648
ENSG00000130762    1    3335990    3407677    234      26  35802      0.82191    0.00036141      0.82155
ENSG00000272088    1    3368810    3414191    144      15  35802      0.69173    0.00036141      0.69137
ENSG00000162591    1    3396484    3563059    549      71  35802      -1.3566    0.00036141       -1.357
ENSG00000158109    1    3506566    3556691    182      30  35802    -0.088541    0.00036141    -0.088903
ENSG00000238260    1    3529754    3576307    115      16  35802      0.19767    0.00036141       0.1973
ENSG00000078900    1    3534084    3662765    341      50  35802      0.83605    0.00036141      0.83569
ENSG00000116213    1    3537331    3604325    153      28  35802     -0.27881    0.00036141     -0.27917
ENSG00000235131    1    3618764    3665862    139      21  35802      0.28987    0.00036141      0.28951
ENSG00000162592    1    3633962    3698209    206      30  35802      -2.1311    0.00036141      -2.1315
ENSG00000235169    1    3654352    3702546    159      21  35802      -2.0457    0.00036141      -2.0461
ENSG00000272153    1    3666572    3712102    161      22  35802      -2.1663    0.00036141      -2.1666
ENSG00000130764    1    3686784    3748068    266      17  35802      -2.3214    0.00036141      -2.3217
ENSG00000116198    1    3718645    3808778    486      28  35802      -1.9234    0.00036141      -1.9238
ENSG00000169598    1    3738845    3811993    404      29  35802      -1.8089    0.00036141      -1.8092
ENSG00000236423    1    3781936    3843789    222      22  35802     -0.82749    0.00036141     -0.82785
ENSG00000198912    1    3795689    3851857    143      16  35802     -0.56518    0.00036141     -0.56554
ENSG00000233304    1    3965673    4025322    122      22  35802       -1.632    0.00036141      -1.6324
ENSG00000226374    1    3997209    4044040    179      26  35802      -1.5433    0.00036141      -1.5437
ENSG00000235054    1    4437111    4494747    237      29  35802     -0.39326    0.00036141     -0.39363
ENSG00000196581    1    4679792    4862594    851      93  35802    -0.041659    0.00036141     -0.04202
ENSG00000236948    1    5637428    5763355    465      61  35802       1.1402    0.00036141       1.1398
ENSG00000131697    1    5912871    6087533    513      24  35802       -1.581    0.00036141      -1.5814
ENSG00000069424    1    6016526    6171253    428      50  35802      -1.0112    0.00036141      -1.0116
ENSG00000116254    1    6151853    6275183    359      38  35802     -0.63657    0.00036141     -0.63693
ENSG00000158286    1    6230535    6291359    130      18  35802     -0.79603    0.00036141     -0.79639
ENSG00000116251    1    6231329    6304449    150      21  35802      -1.0162    0.00036141      -1.0166
ENSG00000226944    1    6254900    6300840     94      13  35802      -1.2488    0.00036141      -1.2491
ENSG00000225077    1    6261300    6309504     94      12  35802      -1.4736    0.00036141       -1.474
ENSG00000116237    1    6271253    6331032    117      14  35802      -1.5508    0.00036141      -1.5512
ENSG00000158292    1    6297406    6356035    124      17  35802      -1.4084    0.00036141      -1.4087
ENSG00000097021    1    6314329    6489451    519      22  35802      -1.3444    0.00036141      -1.3448
ENSG00000271746    1    6418615    6464451    122      12  35802      -0.5849    0.00036141     -0.58526
ENSG00000187017    1    6449848    6531430    241      19  35802     0.012506    0.00036141     0.012144
ENSG00000069812    1    6462478    6519730    165      14  35802     -0.48041    0.00036141     -0.48078
ENSG00000215788    1    6511211    6561255     89      13  35802       2.2101    0.00036141       2.2097
ENSG00000171680    1    6516152    6615121    254      21  35802       2.2142    0.00036141       2.2138
ENSG00000162408    1    6571407    6649595    191       7  35802     0.014711    0.00036141     0.014349
ENSG00000173662    1    6580241    6649817    161       6  35802    -0.069881    0.00036141    -0.070242
ENSG00000204859    1    6605061    6659340    111      11  35802      0.81689    0.00036141      0.81652
ENSG00000116273    1    6638745    6694093     91      13  35802       4.1099    0.00036141       4.1096
ENSG00000162413    1    6640784    6709667    124      16  35802       4.1076    0.00036141       4.1072
ENSG00000041988    1    6649926    6705646    106      14  35802       4.0535    0.00036141       4.0532
ENSG00000007923    1    6684228    6796984    246      21  35802       4.7073    0.00036141       4.7069
ENSG00000228750    1    6749697    6800072    124      14  35802       4.6055    0.00036141       4.6051
ENSG00000171735    1    6810384    7839766   2788     190  35802      -1.8439    0.00036141      -1.8443
ENSG00000237436    1    6833952    6879903    104      13  35802       0.6668    0.00036141      0.66644
ENSG00000270171    1    7743184    7789904    113      16  35802      -0.5183    0.00036141     -0.51866
ENSG00000270035    1    7748363    7793932    107      15  35802     -0.49405    0.00036141     -0.49441
ENSG00000269978    1    7750764    7796030    103      17  35802     -0.55784    0.00036141      -0.5582
ENSG00000049245    1    7796329    7851492    148      26  35802      0.91064    0.00036141      0.91027
ENSG00000049246    1    7809380    7915237    349      27  35802      0.37457    0.00036141      0.37421
ENSG00000236266    1    7860302    7922402    248      33  35802     0.064799    0.00036141     0.064437
ENSG00000049247    1    7893143    7948572    241      32  35802    -0.070793    0.00036141    -0.071154
ENSG00000049249    1    7969907    8035926    126      17  35802     -0.89359    0.00036141     -0.89395
ENSG00000116288    1    7979351    8055565    135      17  35802      -1.3821    0.00036141      -1.3824
ENSG00000238290    1    8051798    8192762    283      14  35802      -1.7988    0.00036141      -1.7991
ENSG00000116285    1    8054464    8121368     91       8  35802      -1.6626    0.00036141      -1.6629
ENSG00000162426    1    8342886    8414227    191      26  35802       4.8702    0.00036141       4.8698
ENSG00000142599    1    8402457    8912702    742      29  35802       3.7321    0.00036141       3.7318
ENSG00000232912    1    8449705    8504898     76      10  35802       5.3339    0.00036141       5.3336
ENSG00000230679    1    8903894    8949953     82      10  35802       1.3488    0.00036141       1.3484
ENSG00000074800    1    8911061    8974308    135      19  35802       2.1034    0.00036141        2.103
ENSG00000131686    1    8970926    9045151    284      47  35802       1.3328    0.00036141       1.3325
ENSG00000142583    1    9085166    9183537    320      25  35802      -1.5832    0.00036141      -1.5836
ENSG00000180758    1    9150364    9224229    187      25  35802      -1.1747    0.00036141       -1.175
ENSG00000234546    1    9207263    9262148    121      22  35802     -0.37203    0.00036141     -0.37239
ENSG00000228526    1    9232066    9297678    213      23  35802      -1.3844    0.00036141      -1.3848
ENSG00000049239    1    9259834    9341396    317      34  35802     0.083948    0.00036141     0.083586
ENSG00000171621    1    9317939    9439591    513      70  35802      0.50645    0.00036141      0.50609
ENSG00000171612    1    9564541    9655237    131      15  35802      -1.4155    0.00036141      -1.4159
ENSG00000188807    1    9613932    9684935     79       8  35802      -1.5742    0.00036141      -1.5746
ENSG00000171608    1    9676790    9799172    219      36  35802     -0.65606    0.00036141     -0.65642
ENSG00000179840    1    9702668    9749644    110      18  35802       -1.394    0.00036141      -1.3943
ENSG00000231789    1    9722484    9782613     98      19  35802     -0.64735    0.00036141     -0.64771
ENSG00000171603    1    9779084    9919584    187      18  35802     0.013453    0.00036141     0.013091
ENSG00000223989    1    9873376    9920212     87      14  35802    -0.045191    0.00036141    -0.045553
ENSG00000178585    1    9898334   10005394    131      19  35802      -1.3506    0.00036141       -1.351
ENSG00000173614    1    9968486   10055559    142      15  35802     -0.72096    0.00036141     -0.72133
ENSG00000162441    1    9972173   10038465    114      13  35802     -0.73703    0.00036141     -0.73739
ENSG00000162444    1   10022264   10086078    108      10  35802      0.27682    0.00036141      0.27646
ENSG00000130939    1   10057890   10251297    368      18  35802      0.36874    0.00036141      0.36838
ENSG00000054523    1   10235863   10451661    657      19  35802      0.77503    0.00036141      0.77467
ENSG00000142657    1   10423649   10490201    182      17  35802      0.54059    0.00036141      0.54023
ENSG00000175279    1   10455159   10522210    155      18  35802     -0.54617    0.00036141     -0.54653
ENSG00000251503    1   10455159   10522210    155      18  35802     -0.54617    0.00036141     -0.54653
ENSG00000241563    1   10474776   10521959    111      12  35802      -1.2303    0.00036141      -1.2306
ENSG00000271989    1   10479938   10525734    110      12  35802      -1.5011    0.00036141      -1.5015
ENSG00000203469    1   10483612   10529395    103       9  35802       -1.899    0.00036141      -1.8993
ENSG00000142655    1   10497345   10700815    420      28  35802      -2.4052    0.00036141      -2.4055
ENSG00000160049    1   10506579   10567583    116      11  35802      -2.1361    0.00036141      -2.1364
ENSG00000272078    1   10664298   10724390    109      18  35802      -1.3808    0.00036141      -1.3812
ENSG00000130940    1   10686661   10891707    459      87  35802      -3.1106    0.00036141      -3.1109
ENSG00000175262    1   10996528   11077094    217      25  35802      -1.2477    0.00036141      -1.2481
ENSG00000120948    1   11037414   11095796    123      12  35802      -0.1547    0.00036141     -0.15506
ENSG00000271895    1   11054716   11100585     86       8  35802      0.16127    0.00036141      0.16091
ENSG00000009724    1   11076580   11142290    160      10  35802      -1.2239    0.00036141      -1.2243
ENSG00000226849    1   11093528   11143154    134       8  35802      -1.5176    0.00036141       -1.518
ENSG00000116649    1   11104641   11155081    125       6  35802      -1.7596    0.00036141        -1.76
ENSG00000171824    1   11116675   11194938    187       6  35802      -1.6822    0.00036141      -1.6826
ENSG00000230337    1   11124732   11172157    135       6  35802      -1.7746    0.00036141       -1.775
ENSG00000198793    1   11156592   11357564    381      10  35802      -2.0872    0.00036141      -2.0876
ENSG00000171819    1   11214398   11266038     94       3  35802      -1.7237    0.00036141      -1.7241
ENSG00000120942    1   11298263   11366106    119      10  35802      -1.4365    0.00036141      -1.4368
ENSG00000204624    1   11504223   11607641    269      17  35802      0.38186    0.00036141       0.3815
ENSG00000132879    1   11679432   11733384    133      24  35802      -1.0156    0.00036141       -1.016
ENSG00000116663    1   11689181   11744411    149      29  35802      -1.6789    0.00036141      -1.6792
ENSG00000116661    1   11698424   11750842    133      27  35802      -2.4251    0.00036141      -2.4254
ENSG00000162490    1   11716786   11795914    222      43  35802      -1.2774    0.00036141      -1.2777
ENSG00000116670    1   11724537   11786707    183      35  35802      -1.0446    0.00036141      -1.0449
ENSG00000177674    1   11761141   11824859    172      33  35802     -0.31851    0.00036141     -0.31887
ENSG00000215910    1   11786844   11859642    267      22  35802     -0.16587    0.00036141     -0.16623
ENSG00000011021    1   11831207   11913201    416      19  35802      0.57539    0.00036141      0.57503
ENSG00000177000    1   11835780   11901977    337      16  35802      0.68457    0.00036141      0.68421
ENSG00000242349    1   11866074   11918136    249      20  35802      0.86938    0.00036141      0.86901
ENSG00000175206    1   11895766   11943402    197      27  35802      0.86941    0.00036141      0.86905
ENSG00000120937    1   11907521   11953988    178      21  35802       1.0418    0.00036141       1.0415
ENSG00000083444    1   11959262   12045595    275      22  35802      0.03926    0.00036141     0.038898
ENSG00000116685    1   11969648   12021485    170      20  35802      0.43385    0.00036141      0.43349
ENSG00000116688    1   12005238   12083571    193      19  35802     -0.80369    0.00036141     -0.80405
ENSG00000116691    1   12044523   12102102    124      15  35802      -1.1663    0.00036141      -1.1666
ENSG00000120949    1   12088434   12214264    277      46  35802       1.7743    0.00036141       1.7739
ENSG00000028137    1   12192060   12279285    237      34  35802      -1.3715    0.00036141      -1.3719
ENSG00000048707    1   12255124   12582099    521      27  35802      -1.7358    0.00036141      -1.7362
ENSG00000229484    1   12552766   12598462    140      15  35802      -1.3056    0.00036141      -1.3059
ENSG00000162496    1   12617939   12712737    334      44  35802       -2.525    0.00036141      -2.5253
ENSG00000272482    1   12668906   12714250    152      24  35802      -2.6455    0.00036141      -2.6459
ENSG00000204518    1   12669566   12737097    188      23  35802      -2.3358    0.00036141      -2.3361
ENSG00000157330    1   12771163   12833847    187      14  35802     -0.22318    0.00036141     -0.22354
ENSG00000162494    1   13791445   13875543    370      50  35802      -1.6635    0.00036141      -1.6639
ENSG00000259961    1   13804715   13852765    193      39  35802      -1.6867    0.00036141       -1.687
ENSG00000162493    1   13874960   13954452    267      42  35802      0.26106    0.00036141       0.2607
ENSG00000116731    1   13991693   14161574    559      29  35802     -0.24324    0.00036141     -0.24361
ENSG00000231606    1   14538386   14584613    107      16  35802       0.7748    0.00036141      0.77444
ENSG00000189337    1   14890200   15454539   1780     172  35802      -1.4114    0.00036141      -1.4118
ENSG00000175147    1   15432448   15513960    382      30  35802      -2.3866    0.00036141      -2.3869
ENSG00000171729    1   15444028   15556976    571      35  35802      -2.7385    0.00036141      -2.7389
ENSG00000142621    1   15538768   15736779    680      73  35802      -1.3353    0.00036141      -1.3357
ENSG00000233485    1   15643176   15705372    124      27  35802      -1.0208    0.00036141      -1.0212
ENSG00000142634    1   15701391   15766839    187      28  35802      -1.5987    0.00036141       -1.599
ENSG00000228140    1   15719475   15770929    135      29  35802      -1.6698    0.00036141      -1.6702
ENSG00000162438    1   15729935   15785737    144      33  35802      -1.7225    0.00036141      -1.7228
ENSG00000132906    1   15807327   15888029    239      12  35802      -0.7732    0.00036141     -0.77356
ENSG00000116138    1   15818308   15928874    387      12  35802     -0.72532    0.00036141     -0.72568
ENSG00000272510    1   15882106   15927451    181      11  35802     -0.47659    0.00036141     -0.47695
ENSG00000116771    1   15888848   15946605    225      11  35802     -0.49554    0.00036141      -0.4959
ENSG00000237301    1   15902631   15965121    242      11  35802      -0.4274    0.00036141     -0.42776
ENSG00000197312    1   15908995   16005539    299       9  35802     -0.46768    0.00036141     -0.46804
ENSG00000116786    1   15975827   16071264    239      15  35802     -0.69027    0.00036141     -0.69063
ENSG00000271742    1   15999368   16044623    135      10  35802     -0.71047    0.00036141     -0.71083
ENSG00000162461    1   16027900   16077891    139      16  35802      -1.0776    0.00036141       -1.078
ENSG00000237938    1   16039214   16098391    148      22  35802      -0.8621    0.00036141     -0.86247
ENSG00000162458    1   16048102   16123089    169      27  35802      -1.0129    0.00036141      -1.0133
ENSG00000224459    1   16056546   16111391    115      20  35802     -0.83688    0.00036141     -0.83724
ENSG00000233954    1   16123679   16169194    222      13  35802     -0.13016    0.00036141     -0.13053
ENSG00000065526    1   16139359   16276955    319      19  35802     -0.12276    0.00036141     -0.12312
ENSG00000179743    1   16150560   16209642    154      17  35802      0.18516    0.00036141       0.1848
ENSG00000116809    1   16258364   16337627    231      24  35802     -0.72759    0.00036141     -0.72795
ENSG00000183888    1   16295731   16345302    229      22  35802       -1.007    0.00036141      -1.0073
ENSG00000186510    1   16310370   16370545    362      24  35802     -0.28415    0.00036141     -0.28451
ENSG00000233078    1   16322655   16368166    287      21  35802     0.013254    0.00036141     0.012893
ENSG00000173641    1   16330523   16381089    332      24  35802     -0.53629    0.00036141     -0.53665
ENSG00000184908    1   16335272   16393803    400      31  35802       -0.592    0.00036141     -0.59236
ENSG00000185519    1   16374264   16435127    304      21  35802      -1.0428    0.00036141      -1.0431
ENSG00000142627    1   16440832   16517582    171      22  35802     0.056924    0.00036141     0.056563
ENSG00000227959    1   16446706   16493824     88      16  35802       0.5516    0.00036141      0.55124
ENSG00000234166    1   16489349   16534852    157      12  35802      0.58085    0.00036141      0.58049
ENSG00000142632    1   16514349   16574104    162      13  35802        2.014    0.00036141       2.0136
ENSG00000132881    1   16548195   16598657     95       8  35802       2.4113    0.00036141       2.4109
ENSG00000037637    1   16563334   16713949    297      12  35802       1.8891    0.00036141       1.8887
ENSG00000055070    1   16644070   16734640    199      15  35802       1.4463    0.00036141       1.4459
ENSG00000187144    1   16703612   16798919    238      30  35802       1.5892    0.00036141       1.5889
ENSG00000157191    1   16732167   16796573    161      22  35802       1.5133    0.00036141        1.513
ENSG00000226029    1   16752443   16804976    134      16  35802       1.8219    0.00036141       1.8216
ENSG00000261135    1   16806140   16852249    114      13  35802       2.3723    0.00036141       2.3719
ENSG00000224174    1   16812189   16858291     99      11  35802       2.2064    0.00036141        2.206
ENSG00000268674    1   16830561   16876070     50       7  35802       1.6365    0.00036141       1.6361
ENSG00000233421    1   16850381   16897144     17       3  35802      0.93436    0.00036141        0.934
ENSG00000058453    1   17031768   17309474    178      15  35802     -0.29632    0.00036141     -0.29668
ENSG00000228549    1   17162440   17210587     15       3  35802     -0.18979    0.00036141     -0.19016
ENSG00000238142    1   17205033   17251144     59       5  35802      -1.0963    0.00036141      -1.0967
ENSG00000272426    1   17220834   17266271     59       6  35802     -0.93738    0.00036141     -0.93774
ENSG00000117122    1   17290997   17342330    113      17  35802        1.242    0.00036141       1.2416
ENSG00000159363    1   17302453   17373423    182      20  35802       1.6871    0.00036141       1.6867
ENSG00000117118    1   17335217   17415665    337      16  35802       2.1286    0.00036141       2.1282
ENSG00000117115    1   17383256   17480948    384      24  35802       1.3323    0.00036141       1.3319
ENSG00000142623    1   17496621   17582500    366      48  35802      0.65525    0.00036141      0.65489
ENSG00000159339    1   17599690   17700499    537      35  35802     -0.84236    0.00036141     -0.84272
ENSG00000227751    1   17698256   17743878    199      17  35802     -0.50065    0.00036141     -0.50101
ENSG00000179051    1   17723256   17801220    232      20  35802    -0.049723    0.00036141    -0.050084
ENSG00000074964    1   17831330   18034369    450      51  35802       -2.452    0.00036141      -2.4524
ENSG00000117148    1   18046808   18163558    286      26  35802     -0.97398    0.00036141     -0.97434
ENSG00000261781    1   18357151   18410906    179      25  35802      0.16311    0.00036141      0.16274
ENSG00000117154    1   18399240   18714977   1047     124  35802       1.6416    0.00036141       1.6413
ENSG00000225387    1   18677323   18725008    166      24  35802     0.045303    0.00036141     0.044942
ENSG00000179023    1   18772424   18822478    201      29  35802       1.4341    0.00036141       1.4337
ENSG00000009709    1   18922500   19085360    453      63  35802     -0.22499    0.00036141     -0.22535
ENSG00000159423    1   19187926   19264275    300      35  35802      -0.3109    0.00036141     -0.31126
ENSG00000169991    1   19220775   19318180    328      29  35802     -0.89676    0.00036141     -0.89713
ENSG00000127481    1   19391000   19571770    376      21  35802     -0.98923    0.00036141     -0.98959
ENSG00000230424    1   19501995   19577198    175      19  35802     -0.64374    0.00036141     -0.64411
ENSG00000127463    1   19532158   19613046    324      20  35802      -1.0387    0.00036141      -1.0391
ENSG00000053372    1   19543033   19596622    203      23  35802      -1.1039    0.00036141      -1.1043
ENSG00000162482    1   19599052   19650744    199      25  35802     -0.49093    0.00036141     -0.49129
ENSG00000040487    1   19603820   19665794    222      32  35802     -0.68436    0.00036141     -0.68472
ENSG00000053371    1   19620459   19673640    188      26  35802      -0.7724    0.00036141     -0.77276
ENSG00000077549    1   19655267   19847066    665      37  35802    -0.076279    0.00036141     -0.07664
ENSG00000173436    1   19888477   19966314    221      21  35802       0.2326    0.00036141      0.23224
ENSG00000235185    1   19908296   19958326    111      16  35802      0.15986    0.00036141      0.15949
ENSG00000158747    1   19932048   19994945    169      30  35802     -0.76042    0.00036141     -0.76078
ENSG00000158748    1   19956780   20016055    173      25  35802     -0.78163    0.00036141     -0.78199
ENSG00000162542    1   19998706   20161438    497      58  35802      -2.2958    0.00036141      -2.2961
ENSG00000235434    1   20105860   20155995    125      33  35802      -1.8953    0.00036141      -1.8957
ENSG00000178828    1   20130523   20176771    186      37  35802      -1.3059    0.00036141      -1.3062
ENSG00000169914    1   20174006   20249438    240      30  35802       -1.113    0.00036141      -1.1134
ENSG00000188257    1   20291925   20341932    167      29  35802      -1.8766    0.00036141       -1.877
ENSG00000127472    1   20319672   20427683    343      29  35802      -1.3831    0.00036141      -1.3835
ENSG00000117215    1   20428432   20481050    140      42  35802      -1.4189    0.00036141      -1.4193
ENSG00000158786    1   20430819   20486879    139      41  35802      -1.5194    0.00036141      -1.5198
ENSG00000227066    1   20445831   20497061    116      30  35802      -1.3536    0.00036141       -1.354
ENSG00000162543    1   20477578   20532541    127      22  35802      -1.7604    0.00036141      -1.7607
ENSG00000187980    1   20477746   20538917    135      23  35802      -1.7542    0.00036141      -1.7545
ENSG00000225986    1   20500735   20547979     99      14  35802      -1.8043    0.00036141      -1.8046
ENSG00000228105    1   20534588   20581148    133      23  35802      -1.6876    0.00036141      -1.6879
ENSG00000236963    1   20677072   20792727    270      31  35802      0.39581    0.00036141      0.39545
ENSG00000162545    1   20798884   20847713     94      17  35802       0.8445    0.00036141      0.84414
ENSG00000090432    1   20815943   20869654    143      17  35802       0.3271    0.00036141      0.32674
ENSG00000183114    1   20843932   20891512    168      23  35802      0.29482    0.00036141      0.29446
ENSG00000158825    1   20880441   20955401    389      30  35802      -1.1028    0.00036141      -1.1032
ENSG00000158828    1   20924948   20988004    261      16  35802      -1.7684    0.00036141      -1.7687
ENSG00000117242    1   20959150   21013686    171      23  35802      -1.8786    0.00036141       -1.879
ENSG00000244038    1   20968270   21023000    179      32  35802      -2.0395    0.00036141      -2.0399
ENSG00000117245    1   20980507   21079510    312      47  35802       1.9348    0.00036141       1.9344
ENSG00000189410    1   21036225   21094330    160      21  35802       3.0821    0.00036141       3.0817
ENSG00000127483    1   21059154   21148816    160      16  35802       2.8401    0.00036141       2.8398
ENSG00000075151    1   21122963   21538377    737      20  35802       2.3041    0.00036141       2.3037
ENSG00000117298    1   21533740   21706997    511      43  35802      0.24002    0.00036141      0.23966
ENSG00000236936    1   21557575   21603744    109      19  35802       1.1221    0.00036141       1.1217
ENSG00000231105    1   21584783   21636267     91      18  35802      0.92501    0.00036141      0.92465
ENSG00000142794    1   21731621   21821498    324      24  35802      -1.2397    0.00036141        -1.24
ENSG00000162551    1   21800858   21914905    460      48  35802      -1.6117    0.00036141       -1.612
ENSG00000233431    1   21877965   21927680    218      33  35802     -0.57991    0.00036141     -0.58027
ENSG00000076864    1   21912708   22030801    428      63  35802      -0.5609    0.00036141     -0.56126
ENSG00000090686    1   21994791   22145099    494      41  35802       0.9351    0.00036141      0.93474
ENSG00000187942    1   22103758   22161714    197      40  35802     0.027736    0.00036141     0.027375
ENSG00000142798    1   22138738   22298790    493      41  35802      -1.7584    0.00036141      -1.7587
ENSG00000142789    1   22293149   22349032    373      23  35802      -1.0557    0.00036141       -1.056
ENSG00000228397    1   22340487   22386461    225      23  35802       2.2839    0.00036141       2.2835
ENSG00000070831    1   22344120   22429437    305      20  35802       2.4339    0.00036141       2.4335
ENSG00000271840    1   22392106   22437853     96      15  35802       2.4807    0.00036141       2.4803
ENSG00000162552    1   22433798   22505462    245      43  35802       2.2287    0.00036141       2.2283
ENSG00000184677    1   22743344   22867650    197      22  35802      -1.4398    0.00036141      -1.4401
